SnapshotMonth,ProductID,WarehouseID,OpeningStock,ReceivedQty,ShippedQty,ClosingStock,ReorderPoint,StockoutFlag,ExpiredQty
2024-01-01,P036,W005,678,370,440,608,359,0,0
2024-01-01,P037,W001,258,60,159,159,162,0,0
2024-01-01,P037,W002,177,105,172,110,141,0,1
2024-01-01,P037,W003,138,79,99,118,139,0,0
2024-01-01,P037,W004,280,60,276,64,151,1,0
2024-01-01,P037,W005,204,107,115,196,177,0,13
2024-01-01,P038,W001,194,163,208,149,179,0,12
2024-01-01,P038,W002,177,62,160,79,140,0,0
2024-01-01,P038,W003,232,117,153,196,199,0,0
2024-01-01,P038,W004,174,75,163,86,202,1,8
2024-01-01,P038,W005,363,98,368,93,199,1,7
2024-01-01,P039,W001,241,47,225,63,145,1,0
2024-01-01,P039,W002,327,115,218,224,188,0,0
2024-01-01,P039,W003,296,73,232,137,163,0,0
2024-01-01,P039,W004,297,160,237,220,178,0,0
2024-01-01,P039,W005,160,125,160,125,156,0,0
2024-01-01,P040,W001,264,70,234,100,210,1,0
2024-01-01,P040,W002,218,109,206,121,206,0,0
2024-01-01,P040,W003,271,118,236,153,201,0,0
2024-01-01,P040,W004,188,103,216,75,141,1,0
2024-01-01,P040,W005,314,204,378,140,171,0,7
2024-01-01,P041,W001,244,92,189,147,188,0,0
2024-01-01,P041,W002,131,170,187,114,154,0,12
2024-01-01,P041,W003,137,65,153,49,154,1,0
2024-01-01,P041,W004,335,123,222,236,185,0,5
2024-01-01,P041,W005,298,154,350,102,163,0,5
2024-01-01,P042,W001,220,164,223,161,176,0,1
2024-01-01,P042,W002,204,204,288,120,171,0,0
2024-01-01,P042,W003,251,82,228,105,135,0,12
2024-01-01,P042,W004,178,246,305,119,211,0,0
2024-01-01,P042,W005,203,165,277,91,146,0,0
2024-02-01,P001,W001,1430,751,1573,608,1064,0,0
2024-02-01,P001,W002,875,507,997,385,1018,1,0
2024-02-01,P001,W003,884,245,554,575,944,0,0
2024-02-01,P001,W004,1509,1228,1512,1225,1025,0,0
2024-02-01,P001,W005,1207,827,1095,939,749,0,0
2024-02-01,P002,W001,819,565,713,671,1109,0,0
2024-02-01,P002,W002,715,381,854,242,779,1,0
2024-02-01,P002,W003,849,782,783,848,767,0,0
2024-02-01,P002,W004,1471,381,1101,751,1070,0,0
2024-02-01,P002,W005,1410,538,771,1177,814,0,0
2024-02-01,P003,W001,1018,308,706,620,1110,0,0
2024-02-01,P003,W002,1067,260,936,391,780,1,0
2024-02-01,P003,W003,936,641,719,858,683,0,0
2024-02-01,P003,W004,1224,635,723,1136,844,0,0
2024-02-01,P003,W005,949,500,753,696,859,0,0
2024-02-01,P004,W001,1523,943,1294,1172,1118,0,0
2024-02-01,P004,W002,984,920,1113,791,1094,0,0
2024-02-01,P004,W003,1830,454,1715,569,1014,0,0
2024-02-01,P004,W004,1163,434,931,666,762,0,0
2024-02-01,P004,W005,1120,664,1023,761,894,0,0
2024-02-01,P005,W001,798,838,899,737,839,0,0
2024-02-01,P005,W002,1252,257,710,799,768,0,0
2024-02-01,P005,W003,1321,432,1284,469,943,1,0
2024-02-01,P005,W004,1711,803,1824,690,924,0,0
2024-02-01,P005,W005,1241,801,898,1144,755,0,0
2024-02-01,P006,W001,678,967,1232,413,948,1,0
2024-02-01,P006,W002,1262,204,564,902,726,0,0
2024-02-01,P006,W003,641,420,853,208,775,1,0
2024-02-01,P006,W004,748,356,890,214,813,1,0
2024-02-01,P006,W005,797,288,886,199,899,1,0
2024-02-01,P007,W001,760,1012,1057,715,946,0,0
2024-02-01,P007,W002,1414,524,1424,514,852,0,0
2024-02-01,P007,W003,1766,960,977,1749,1045,0,0
2024-02-01,P007,W004,1974,921,1789,1106,1052,0,0
2024-02-01,P007,W005,1342,505,1106,741,715,0,0
2024-02-01,P008,W001,1260,906,1340,826,1089,0,0
2024-02-01,P008,W002,862,599,1182,279,882,1,0
2024-02-01,P008,W003,1099,274,597,776,937,0,0
2024-02-01,P008,W004,699,411,740,370,762,1,0
2024-02-01,P008,W005,917,432,830,519,700,0,0
2024-02-01,P009,W001,1980,1245,2069,1156,1116,0,0
2024-02-01,P009,W002,1326,855,1136,1045,886,0,0
2024-02-01,P009,W003,1338,473,1287,524,1086,1,0
2024-02-01,P009,W004,634,322,485,471,895,1,0
2024-02-01,P009,W005,798,1143,1295,646,980,0,0
2024-02-01,P010,W001,1280,723,1501,502,767,0,0
2024-02-01,P010,W002,1259,441,866,834,677,0,0
2024-02-01,P010,W003,1377,969,1578,768,903,0,0
2024-02-01,P010,W004,669,977,981,665,864,0,0
2024-02-01,P010,W005,1241,1119,1381,979,978,0,0
2024-02-01,P011,W001,1425,1160,2023,562,1118,1,0
2024-02-01,P011,W002,1595,1083,2089,589,941,0,0
2024-02-01,P011,W003,1337,569,1111,795,1121,0,0
2024-02-01,P011,W004,705,536,924,317,750,1,0
2024-02-01,P011,W005,1710,948,1368,1290,971,0,0
2024-02-01,P012,W001,1487,426,970,943,852,0,0
2024-02-01,P012,W002,1390,538,909,1019,875,0,0
2024-02-01,P012,W003,953,628,611,970,937,0,0
2024-02-01,P012,W004,1212,793,960,1045,834,0,0
2024-02-01,P012,W005,876,483,498,861,874,0,0
2024-02-01,P013,W001,482,474,443,513,481,0,0
2024-02-01,P013,W002,333,443,519,257,472,1,0
2024-02-01,P013,W003,511,221,470,262,475,0,0
2024-02-01,P013,W004,421,351,371,401,343,0,0
2024-02-01,P013,W005,640,257,471,426,344,0,0
2024-02-01,P014,W001,512,431,587,356,382,0,27
2024-02-01,P014,W002,558,211,536,233,393,0,25
2024-02-01,P014,W003,382,239,278,343,520,0,0
2024-02-01,P014,W004,429,134,429,134,534,1,13
2024-02-01,P014,W005,846,272,415,703,496,0,0
2024-02-01,P015,W001,418,173,354,237,369,0,0
2024-02-01,P015,W002,409,228,341,296,434,0,0
2024-02-01,P015,W003,662,518,942,238,433,1,0
2024-02-01,P015,W004,323,198,392,129,434,1,8
2024-02-01,P015,W005,722,365,437,650,522,0,0
2024-02-01,P016,W001,795,497,624,668,513,0,0
2024-02-01,P016,W002,281,146,247,180,349,1,17
2024-02-01,P016,W003,633,203,446,390,362,0,0
2024-02-01,P016,W004,695,277,629,343,396,0,10
2024-02-01,P016,W005,663,255,435,483,390,0,21
2024-02-01,P017,W001,608,488,627,469,531,0,0
2024-02-01,P017,W002,384,538,471,451,529,0,0
2024-02-01,P017,W003,442,134,407,169,481,1,9
2024-02-01,P017,W004,502,441,356,587,456,0,60
2024-02-01,P017,W005,749,179,394,534,494,0,57
2024-02-01,P018,W001,347,195,217,325,427,0,19
2024-02-01,P018,W002,617,312,455,474,419,0,0
2024-02-01,P018,W003,918,550,685,783,494,0,0
2024-02-01,P018,W004,319,504,483,340,450,0,0
2024-02-01,P018,W005,348,130,347,131,447,1,0
2024-02-01,P019,W001,405,133,296,242,481,1,3
2024-02-01,P019,W002,415,334,489,260,439,0,0
2024-02-01,P019,W003,658,218,310,566,501,0,0
2024-02-01,P019,W004,589,237,650,176,526,1,0
2024-02-01,P019,W005,607,430,790,247,401,0,0
2024-02-01,P020,W001,586,370,419,537,445,0,0
2024-02-01,P020,W002,777,222,661,338,462,0,0
2024-02-01,P020,W003,556,643,660,539,559,0,0
2024-02-01,P020,W004,594,425,810,209,410,1,0
2024-02-01,P020,W005,730,470,928,272,537,1,0
2024-02-01,P021,W001,341,560,726,175,469,1,13
2024-02-01,P021,W002,297,390,350,337,421,0,0
2024-02-01,P021,W003,365,456,348,473,478,0,0
2024-02-01,P021,W004,859,399,793,465,483,0,0
2024-02-01,P021,W005,407,491,661,237,423,0,8
2024-02-01,P022,W001,719,305,359,665,610,0,0
2024-02-01,P022,W002,556,389,382,563,453,0,0
2024-02-01,P022,W003,801,504,950,355,481,0,0
2024-02-01,P022,W004,538,229,310,457,567,0,0
2024-02-01,P022,W005,893,362,494,761,615,0,0
2024-02-01,P023,W001,701,174,358,517,643,0,0
2024-02-01,P023,W002,753,157,335,575,410,0,0
2024-02-01,P023,W003,1119,737,759,1097,649,0,0
2024-02-01,P023,W004,664,676,961,379,626,0,0
2024-02-01,P023,W005,392,465,666,191,398,1,0
2024-02-01,P024,W001,641,443,490,594,480,0,0
2024-02-01,P024,W002,645,541,749,437,524,0,0
2024-02-01,P024,W003,870,464,936,398,620,0,0
2024-02-01,P024,W004,717,393,559,551,460,0,0
2024-02-01,P024,W005,434,560,598,396,526,0,0
2024-02-01,P025,W001,893,221,659,455,516,0,0
2024-02-01,P025,W002,772,450,764,458,425,0,0
2024-02-01,P025,W003,503,354,650,207,615,1,0
2024-02-01,P025,W004,610,313,552,371,484,0,0
2024-02-01,P025,W005,825,299,572,552,526,0,0
2024-02-01,P026,W001,305,295,372,228,400,0,0
2024-02-01,P026,W002,997,486,1107,376,579,0,0
2024-02-01,P026,W003,596,283,586,293,458,0,0
2024-02-01,P026,W004,807,465,751,521,478,0,0
2024-02-01,P026,W005,734,504,925,313,463,0,0
2024-02-01,P027,W001,762,220,461,521,581,0,0
2024-02-01,P027,W002,519,235,381,373,495,0,0
2024-02-01,P027,W003,869,412,665,616,505,0,0
2024-02-01,P027,W004,843,598,1137,304,593,1,0
2024-02-01,P027,W005,533,356,669,220,485,1,0
2024-02-01,P028,W001,811,459,711,559,522,0,0
2024-02-01,P028,W002,626,578,677,527,591,0,0
2024-02-01,P028,W003,670,313,747,236,519,1,0
2024-02-01,P028,W004,853,175,464,564,486,0,0
2024-02-01,P028,W005,871,480,988,363,506,0,0
2024-02-01,P029,W001,642,379,365,656,454,0,0
2024-02-01,P029,W002,423,229,339,313,406,0,0
2024-02-01,P029,W003,875,351,825,401,645,0,0
2024-02-01,P029,W004,884,560,1079,365,498,0,0
2024-02-01,P029,W005,505,182,422,265,417,0,0
2024-02-01,P030,W001,885,424,552,757,594,0,0
2024-02-01,P030,W002,467,535,788,214,484,1,0
2024-02-01,P030,W003,719,295,704,310,591,1,0
2024-02-01,P030,W004,419,392,631,180,395,1,0
2024-02-01,P030,W005,832,578,756,654,646,0,0
2024-02-01,P031,W001,210,140,183,167,271,0,0
2024-02-01,P031,W002,374,132,295,211,258,0,0
2024-02-01,P031,W003,652,117,371,398,388,0,0
2024-02-01,P031,W004,407,298,363,342,298,0,0
2024-02-01,P031,W005,374,352,569,157,339,1,0
2024-02-01,P032,W001,680,240,563,357,368,0,0
2024-02-01,P032,W002,378,238,496,120,395,1,0
2024-02-01,P032,W003,531,368,489,410,345,0,0
2024-02-01,P032,W004,440,318,392,366,321,0,0
2024-02-01,P032,W005,454,230,268,416,241,0,0
2024-02-01,P033,W001,515,95,271,339,320,0,0
2024-02-01,P033,W002,360,177,306,231,315,0,0
2024-02-01,P033,W003,259,245,313,191,291,0,0
2024-02-01,P033,W004,322,259,445,136,333,1,0
2024-02-01,P033,W005,523,424,718,229,364,0,0
2024-02-01,P034,W001,416,258,538,136,346,1,0
2024-02-01,P034,W002,716,292,658,350,381,0,0
2024-02-01,P034,W003,195,145,245,95,243,1,0
2024-02-01,P034,W004,464,110,300,274,328,0,0
2024-02-01,P034,W005,204,172,140,236,272,0,0
2024-02-01,P035,W001,312,301,282,331,337,0,0
2024-02-01,P035,W002,379,131,319,191,274,0,0
2024-02-01,P035,W003,189,238,196,231,269,0,0
2024-02-01,P035,W004,406,135,355,186,329,0,0
2024-02-01,P035,W005,537,327,516,348,392,0,0
2024-02-01,P036,W001,520,211,514,217,285,0,0
2024-02-01,P036,W002,379,193,401,171,305,0,0
2024-02-01,P036,W003,484,107,209,382,283,0,0
2024-02-01,P036,W004,364,93,223,234,277,0,0
2024-02-01,P036,W005,424,188,294,318,358,0,0
2024-02-01,P037,W001,239,102,124,217,200,0,0
2024-02-01,P037,W002,299,180,339,140,185,0,0
2024-02-01,P037,W003,171,141,204,108,174,0,0
2024-02-01,P037,W004,266,131,298,99,196,1,0
2024-02-01,P037,W005,198,138,222,114,185,0,0
2024-02-01,P038,W001,255,182,354,83,220,1,0
2024-02-01,P038,W002,197,201,201,197,198,0,0
2024-02-01,P038,W003,141,135,97,179,162,0,9
2024-02-01,P038,W004,331,217,433,115,206,0,0
2024-02-01,P038,W005,293,98,213,178,159,0,0
2024-02-01,P039,W001,334,66,325,75,181,1,1
2024-02-01,P039,W002,179,180,235,124,205,0,0
2024-02-01,P039,W003,196,150,143,203,193,0,0
2024-02-01,P039,W004,147,110,157,100,155,0,0
2024-02-01,P039,W005,336,69,239,166,223,0,0
2024-02-01,P040,W001,285,120,203,202,162,0,0
2024-02-01,P040,W002,141,78,136,83,139,0,0
2024-02-01,P040,W003,236,214,297,153,217,0,0
2024-02-01,P040,W004,319,117,316,120,194,0,0
2024-02-01,P040,W005,129,202,168,163,185,0,0
2024-02-01,P041,W001,171,140,204,107,146,0,0
2024-02-01,P041,W002,223,71,160,134,157,0,0
2024-02-01,P041,W003,201,62,210,53,177,1,0
2024-02-01,P041,W004,355,89,168,276,214,0,32
2024-02-01,P041,W005,221,122,136,207,180,0,0
2024-02-01,P042,W001,151,118,105,164,139,0,0
2024-02-01,P042,W002,304,44,177,171,166,0,0
2024-02-01,P042,W003,139,156,179,116,144,0,2
2024-02-01,P042,W004,146,67,93,120,158,0,0
2024-02-01,P042,W005,270,138,278,130,213,0,13
2024-03-01,P001,W001,1495,288,857,926,977,0,0
2024-03-01,P001,W002,1042,193,455,780,768,0,0
2024-03-01,P001,W003,1853,931,1075,1709,1116,0,0
2024-03-01,P001,W004,785,622,576,831,1045,0,0
2024-03-01,P001,W005,725,487,901,311,711,1,0
2024-03-01,P002,W001,1847,821,1895,773,1025,0,0
2024-03-01,P002,W002,1187,474,684,977,837,0,0
2024-03-01,P002,W003,625,570,659,536,683,0,0
2024-03-01,P002,W004,1836,502,1811,527,1105,1,0
2024-03-01,P002,W005,840,492,1009,323,901,1,0
2024-03-01,P003,W001,1220,1054,1564,710,957,0,0
2024-03-01,P003,W002,546,235,491,290,730,1,0
2024-03-01,P003,W003,1313,284,860,737,743,0,0
2024-03-01,P003,W004,981,951,858,1074,939,0,0
2024-03-01,P003,W005,915,594,1213,296,881,1,0
2024-03-01,P004,W001,773,244,416,601,744,0,0
2024-03-01,P004,W002,1329,336,915,750,801,0,0
2024-03-01,P004,W003,1438,347,793,992,833,0,0
2024-03-01,P004,W004,853,419,750,522,713,0,0
2024-03-01,P004,W005,754,587,678,663,863,0,0
2024-03-01,P005,W001,926,283,453,756,742,0,0
2024-03-01,P005,W002,1139,547,635,1051,783,0,0
2024-03-01,P005,W003,946,226,900,272,879,1,0
2024-03-01,P005,W004,1334,876,1485,725,835,0,0
2024-03-01,P005,W005,1119,570,593,1096,871,0,0
2024-03-01,P006,W001,698,280,424,554,883,0,0
2024-03-01,P006,W002,800,607,1067,340,989,1,0
2024-03-01,P006,W003,1578,1107,1400,1285,944,0,0
2024-03-01,P006,W004,1435,483,1298,620,1033,0,0
2024-03-01,P006,W005,1133,468,958,643,779,0,0
2024-03-01,P007,W001,1548,1175,2067,656,1005,0,0
2024-03-01,P007,W002,1094,261,755,600,863,0,0
2024-03-01,P007,W003,706,285,592,399,808,1,0
2024-03-01,P007,W004,706,431,539,598,689,0,0
2024-03-01,P007,W005,1660,856,1689,827,1012,0,0
2024-03-01,P008,W001,1397,388,653,1132,1007,0,0
2024-03-01,P008,W002,1148,782,968,962,705,0,0
2024-03-01,P008,W003,1059,803,737,1125,812,0,0
2024-03-01,P008,W004,880,589,766,703,948,0,0
2024-03-01,P008,W005,1475,348,842,981,786,0,0
2024-03-01,P009,W001,1266,490,864,892,817,0,0
2024-03-01,P009,W002,1542,223,1297,468,884,1,0
2024-03-01,P009,W003,910,1060,933,1037,1079,0,0
2024-03-01,P009,W004,1086,752,770,1068,877,0,0
2024-03-01,P009,W005,732,1201,921,1012,1028,0,0
2024-03-01,P010,W001,1181,402,1074,509,702,0,0
2024-03-01,P010,W002,1300,855,1569,586,955,0,0
2024-03-01,P010,W003,1918,899,1734,1083,1063,0,0
2024-03-01,P010,W004,1097,929,1222,804,886,0,0
2024-03-01,P010,W005,702,515,680,537,846,0,0
2024-03-01,P011,W001,984,496,1032,448,691,0,0
2024-03-01,P011,W002,1808,529,1656,681,1110,0,0
2024-03-01,P011,W003,542,409,495,456,706,0,0
2024-03-01,P011,W004,837,637,1048,426,1046,1,0
2024-03-01,P011,W005,1186,243,895,534,760,0,0
2024-03-01,P012,W001,1291,966,819,1438,1122,0,0
2024-03-01,P012,W002,1587,885,915,1557,945,0,0
2024-03-01,P012,W003,1298,705,1574,429,832,1,0
2024-03-01,P012,W004,1805,1258,1552,1511,1066,0,0
2024-03-01,P012,W005,1309,531,1218,622,766,0,0
2024-03-01,P013,W001,999,566,552,1013,529,0,0
2024-03-01,P013,W002,269,286,363,192,377,1,0
2024-03-01,P013,W003,757,327,675,409,484,0,0
2024-03-01,P013,W004,691,505,885,311,429,0,0
2024-03-01,P013,W005,865,160,629,396,514,0,0
2024-03-01,P014,W001,844,146,628,362,532,0,0
2024-03-01,P014,W002,660,312,371,601,387,0,0
2024-03-01,P014,W003,781,146,528,399,466,0,12
2024-03-01,P014,W004,562,325,530,357,368,0,0
2024-03-01,P014,W005,791,477,719,549,527,0,0
2024-03-01,P015,W001,868,174,693,349,529,0,0
2024-03-01,P015,W002,646,536,469,713,494,0,0
2024-03-01,P015,W003,643,410,818,235,433,1,0
2024-03-01,P015,W004,442,151,296,297,343,0,0
2024-03-01,P015,W005,704,383,886,201,425,1,0
2024-03-01,P016,W001,417,380,595,202,371,1,0
2024-03-01,P016,W002,415,475,660,230,420,1,0
2024-03-01,P016,W003,805,458,906,357,486,0,0
2024-03-01,P016,W004,315,245,307,253,416,0,0
2024-03-01,P016,W005,838,345,676,507,535,0,0
2024-03-01,P017,W001,311,130,305,136,364,1,0
