OrderID,OrderDate,RequiredDate,ShipDate,ProductID,CustomerID,Channel,SupplierID,WarehouseID,OrderQty,UnitPrice,DiscountPct,Revenue,UnitCost,COGS,GrossProfit,OTIF_Flag,LateDays,StockoutFlag,ReturnQty,WasteQty,QualityIssueFlag,PromoFlag
O00073,2025-12-10,2025-12-12,2025-12-12,P040,C022,Retail,S006,W003,104,1.32,0.06,129.04,0.86,89.44,39.6,1,0,0,0,0,0,0
O00074,2025-04-25,2025-04-30,2025-04-30,P013,C048,HoReCa,S001,W003,201,2.91,0.03,567.36,2.09,420.09,147.27,1,0,0,0,0,0,0
O00075,2024-09-13,2024-09-25,2024-09-25,P004,C062,Distributor,S008,W004,19,1.6,0.02,29.79,1.02,19.38,10.41,1,0,0,0,0,0,0
O00076,2024-08-15,2024-08-27,2024-08-27,P029,C045,Retail,S008,W005,78,2.79,0.04,208.92,1.46,113.88,95.04,1,0,1,0,0,0,0
O00077,2024-05-29,2024-06-08,2024-06-08,P009,C005,E-commerce,S007,W002,191,2.27,0.02,424.9,1.45,276.95,147.95,1,0,1,0,0,0,0
O00078,2025-09-15,2025-09-24,2025-09-24,P034,C055,Retail,S002,W001,93,4.76,0.04,424.97,3.05,283.65,141.32,1,0,0,0,0,0,0
O00079,2025-09-03,2025-09-14,2025-09-14,P035,C003,E-commerce,S005,W003,33,3.56,0.04,112.78,2.53,83.49,29.29,1,0,0,0,0,0,0
O00080,2025-06-22,2025-07-01,2025-07-01,P035,C065,Distributor,S002,W005,142,3.56,0.11,449.91,2.53,359.26,90.65,1,0,0,5,0,0,1
O00081,2025-10-05,2025-10-15,2025-10-15,P007,C075,Retail,S007,W003,110,2.1,0.06,217.14,1.23,135.3,81.84,1,0,0,0,0,0,0
O00082,2025-04-13,2025-04-18,2025-04-18,P003,C038,E-commerce,S001,W001,177,1.44,0.03,247.23,0.87,153.99,93.24,1,0,0,0,0,0,0
O00083,2025-10-24,2025-10-30,2025-10-30,P013,C037,Distributor,S003,W002,125,2.91,0.03,352.84,2.09,261.25,91.59,1,0,0,0,0,0,0
O00084,2025-05-24,2025-05-31,2025-05-31,P024,C067,E-commerce,S004,W002,162,2.64,0.12,376.36,1.6,259.2,117.16,1,0,0,0,0,0,1
O00085,2024-10-29,2024-11-04,2024-11-04,P020,C058,E-commerce,S003,W005,161,1.85,0.03,288.91,1.08,173.88,115.03,1,0,0,0,0,0,0
O00086,2025-11-18,2025-11-20,2025-11-20,P041,C066,Retail,S006,W005,151,1.71,0.05,245.3,1.1,166.1,79.2,1,0,0,0,0,0,0
O00087,2025-09-11,2025-09-21,2025-09-21,P010,C058,HoReCa,S007,W005,204,1.85,0.03,366.08,1.01,206.04,160.04,1,0,0,0,0,0,0
O00088,2025-01-31,2025-02-11,2025-02-11,P036,C034,Distributor,S005,W004,205,4.66,0.03,926.64,2.88,590.4,336.24,1,0,0,0,0,0,0
O00089,2025-11-29,2025-12-04,2025-12-04,P021,C045,Distributor,S001,W005,188,3.11,0.04,561.29,1.97,370.36,190.93,1,0,0,0,0,0,0
O00090,2024-08-30,2024-09-08,2024-09-08,P032,C004,HoReCa,S002,W002,73,4.97,0.02,355.55,3.3,240.9,114.65,1,0,0,0,0,0,0
O00091,2025-06-22,2025-06-29,2025-06-29,P027,C053,Retail,S004,W003,60,2.7,0.04,155.52,1.63,97.8,57.72,1,0,0,0,0,0,0
O00092,2025-03-19,2025-03-30,2025-03-30,P033,C008,Retail,S005,W005,157,4.43,0.06,653.78,2.4,376.8,276.98,1,0,0,0,0,0,0
O00093,2024-07-20,2024-07-22,2024-07-22,P041,C036,HoReCa,S006,W001,201,1.71,0.04,329.96,1.1,221.1,108.86,1,0,0,0,0,0,0
O00094,2025-07-31,2025-08-05,2025-08-05,P003,C004,Distributor,S001,W001,316,1.44,0.02,445.94,0.87,274.92,171.02,1,0,0,0,0,0,0
O00095,2024-10-23,2024-10-25,2024-10-25,P042,C062,Retail,S006,W004,24,1.93,0.05,44,1.27,30.48,13.52,1,0,0,0,0,0,0
O00096,2024-12-19,2024-12-26,2024-12-26,P026,C017,Retail,S004,W002,191,2.65,0.04,485.9,1.83,349.53,136.37,1,0,0,0,0,0,0
O00097,2024-06-12,2024-06-18,2024-06-18,P021,C074,E-commerce,S003,W005,95,3.11,0.03,286.59,1.97,187.15,99.44,1,0,0,0,0,0,0
O00098,2025-08-20,2025-09-01,2025-09-01,P023,C007,HoReCa,S008,W005,139,2,0.03,269.66,1.14,158.46,111.2,1,0,1,0,0,0,0
O00099,2025-01-09,2025-01-21,2025-01-21,P026,C047,Retail,S008,W001,43,2.65,0.05,108.25,1.83,78.69,29.56,1,0,0,0,0,0,0
O00100,2024-05-01,2024-05-11,2024-05-11,P009,C013,E-commerce,S007,W002,120,2.27,0.03,264.23,1.45,174,90.23,1,0,0,0,0,0,0
O00101,2024-05-20,2024-05-27,2024-05-27,P022,C061,HoReCa,S004,W004,92,2.52,0.02,227.2,1.51,138.92,88.28,1,0,0,0,0,0,0
O00102,2025-06-05,2025-06-14,2025-06-14,P035,C063,HoReCa,S002,W003,134,3.56,0.11,424.57,2.53,339.02,85.55,1,0,0,0,0,0,1
O00103,2025-12-05,2025-12-07,2025-12-07,P041,C061,E-commerce,S006,W004,111,1.71,0.04,182.22,1.1,122.1,60.12,1,0,0,0,0,0,0
O00104,2025-12-18,2025-12-28,2025-12-28,P008,C025,Retail,S007,W001,123,2.17,0.14,229.54,1.17,143.91,85.63,1,0,0,0,0,0,1
O00105,2024-03-04,2024-03-16,2024-03-16,P009,C067,Retail,S008,W001,105,2.27,0.04,228.82,1.45,152.25,76.57,1,0,0,0,0,0,0
O00106,2025-11-28,2025-11-30,2025-11-30,P042,C034,Distributor,S006,W004,84,1.93,0.03,157.26,1.27,106.68,50.58,1,0,0,0,0,0,0
O00107,2025-12-22,2025-12-31,2025-12-31,P032,C045,Retail,S002,W005,157,4.97,0.05,741.28,3.3,518.1,223.18,1,0,0,0,0,0,0
O00108,2024-12-20,2024-12-27,2024-12-27,P029,C033,Retail,S004,W005,121,2.79,0.06,317.33,1.46,176.66,140.67,1,0,0,0,0,0,0
O00109,2025-06-27,2025-07-03,2025-07-03,P015,C030,Retail,S003,W001,40,2.03,0.04,77.95,1.2,48,29.95,1,0,0,0,0,0,0
O00110,2025-05-02,2025-05-11,2025-05-11,P031,C026,Retail,S002,W005,115,3.43,0.12,347.12,2.08,239.2,107.92,1,0,0,0,0,0,1
O00111,2024-06-28,2024-07-10,2024-07-11,P027,C023,E-commerce,S008,W001,80,2.7,0.02,211.68,1.63,130.4,81.28,0,1,0,0,0,0,0
O00112,2025-07-10,2025-07-19,2025-07-19,P034,C064,Retail,S002,W001,102,4.76,0.05,461.24,3.05,311.1,150.14,1,0,0,0,0,0,0
O00113,2024-10-29,2024-10-31,2024-10-31,P037,C025,Distributor,S006,W001,117,2.04,0.02,233.91,1.4,163.8,70.11,1,0,0,0,10,0,0
O00114,2024-09-30,2024-10-07,2024-10-07,P022,C039,Retail,S004,W003,170,2.52,0.04,411.26,1.51,256.7,154.56,1,0,0,0,0,0,0
O00115,2025-12-21,2025-12-26,2025-12-26,P020,C016,HoReCa,S001,W005,22,1.85,0.04,39.07,1.08,23.76,15.31,1,0,0,0,0,0,0
O00116,2025-11-11,2025-11-17,2025-11-18,P014,C032,HoReCa,S003,W003,40,1.95,0.03,75.66,1.12,44.8,30.86,0,1,0,0,0,0,0
O00117,2024-06-02,2024-06-07,2024-06-07,P011,C067,E-commerce,S001,W002,221,1.67,0.02,361.69,1.08,238.68,123.01,1,0,0,0,0,0,0
O00118,2024-11-11,2024-11-16,2024-11-16,P002,C051,E-commerce,S001,W005,37,1.5,0.02,54.39,0.81,29.97,24.42,1,0,0,0,0,0,0
O00119,2025-04-28,2025-05-03,2025-05-03,P003,C037,E-commerce,S001,W002,153,1.44,0.03,213.71,0.87,133.11,80.6,1,0,0,0,0,0,0
O00120,2024-03-23,2024-04-01,2024-04-01,P035,C018,Retail,S002,W003,1,3.56,0.05,3.38,2.53,2.53,0.85,1,0,0,0,0,0,0
O00121,2025-11-20,2025-11-29,2025-11-29,P035,C055,Distributor,S002,W003,65,3.56,0.04,222.14,2.53,164.45,57.69,1,0,0,0,0,0,0
O00122,2024-01-17,2024-01-23,2024-01-23,P016,C027,HoReCa,S003,W001,45,3.15,0.04,136.08,2.05,92.25,43.83,1,0,0,0,0,0,0
O00123,2024-08-10,2024-08-22,2024-08-22,P004,C038,HoReCa,S008,W001,104,1.6,0.02,163.07,1.02,106.08,56.99,1,0,0,0,0,0,0
O00124,2025-08-28,2025-09-07,2025-09-07,P012,C055,Retail,S007,W003,79,1.97,0.05,147.85,1.3,102.7,45.15,1,0,0,0,0,0,0
O00125,2025-07-04,2025-07-13,2025-07-13,P031,C031,Distributor,S002,W001,217,3.43,0.11,662.44,2.08,451.36,211.08,1,0,0,0,0,0,1
O00126,2025-10-24,2025-10-29,2025-10-29,P006,C058,HoReCa,S001,W005,229,1.65,0.02,370.29,1.14,261.06,109.23,1,0,0,0,0,0,0
O00127,2025-08-24,2025-09-04,2025-09-04,P036,C028,Distributor,S005,W005,73,4.66,0.1,306.16,2.88,210.24,95.92,1,0,0,0,0,0,1
O00128,2025-09-10,2025-09-15,2025-09-15,P014,C051,E-commerce,S001,W005,117,1.95,0.04,219.02,1.12,131.04,87.98,1,0,0,0,0,0,0
O00129,2025-04-25,2025-04-30,2025-04-30,P021,C027,Retail,S001,W002,25,3.11,0.05,73.86,1.97,49.25,24.61,1,0,0,0,0,0,0
O00130,2024-08-23,2024-09-04,2024-09-04,P025,C073,HoReCa,S008,W004,30,1.94,0.03,56.45,1.4,42,14.45,1,0,0,0,0,0,0
O00131,2024-06-22,2024-07-04,2024-07-04,P009,C063,Distributor,S008,W001,350,2.27,0.12,699.16,1.45,507.5,191.66,1,0,0,0,0,0,1
O00132,2024-08-11,2024-08-22,2024-08-22,P033,C059,HoReCa,S005,W002,151,4.43,0.04,642.17,2.4,362.4,279.77,1,0,0,4,0,1,0
O00133,2024-10-08,2024-10-17,2024-10-17,P035,C037,Distributor,S002,W001,160,3.56,0.02,558.21,2.53,404.8,153.41,1,0,0,0,0,0,0
O00134,2024-03-21,2024-03-28,2024-03-28,P024,C052,Distributor,S004,W002,125,2.64,0.04,316.8,1.6,200,116.8,1,0,0,0,0,0,0
O00135,2025-02-19,2025-03-03,2025-03-03,P025,C049,Retail,S008,W003,171,1.94,0.05,315.15,1.4,239.4,75.75,1,0,0,0,0,0,0
O00136,2024-02-13,2024-02-18,2024-02-18,P015,C028,Retail,S001,W005,141,2.03,0.13,249.02,1.2,169.2,79.82,1,0,0,6,0,0,1
O00137,2025-08-24,2025-09-03,2025-09-03,P010,C051,Retail,S007,W005,118,1.85,0.05,207.38,1.01,119.18,88.2,1,0,0,0,0,0,0
O00138,2024-12-20,2024-12-25,2024-12-25,P004,C013,Distributor,S001,W002,238,1.6,0.04,365.57,1.02,242.76,122.81,1,0,0,4,0,0,0
O00139,2024-12-30,2025-01-08,2025-01-08,P036,C056,Retail,S002,W001,118,4.66,0.04,527.88,2.88,339.84,188.04,1,0,0,0,0,0,0
O00140,2025-01-04,2025-01-14,2025-01-14,P007,C012,HoReCa,S007,W001,75,2.1,0.02,154.35,1.23,92.25,62.1,1,0,0,0,0,0,0
O00141,2024-01-27,2024-02-01,2024-02-01,P006,C046,HoReCa,S001,W003,39,1.65,0.11,57.27,1.14,44.46,12.81,1,0,0,0,0,0,1
O00142,2025-08-08,2025-08-17,2025-08-17,P034,C022,Retail,S002,W003,46,4.76,0.05,208.01,3.05,140.3,67.71,1,0,0,0,0,0,0
O00143,2024-03-19,2024-03-31,2024-03-31,P024,C033,HoReCa,S008,W005,147,2.64,0.03,376.44,1.6,235.2,141.24,1,0,0,0,0,0,0
O00144,2025-10-28,2025-10-30,2025-10-30,P039,C042,Retail,S006,W005,162,1.67,0.05,257.01,0.89,144.18,112.83,1,0,0,0,0,0,0
O00145,2025-01-20,2025-01-26,2025-01-27,P018,C051,Distributor,S003,W005,90,3.22,0.04,278.21,2.09,188.1,90.11,0,1,0,0,0,0,0
O00146,2024-03-11,2024-03-23,2024-03-23,P027,C064,Retail,S008,W001,144,2.7,0.06,365.47,1.63,234.72,130.75,1,0,0,0,0,0,0
O00147,2025-07-01,2025-07-10,2025-07-10,P033,C054,E-commerce,S002,W005,165,4.43,0.02,716.33,2.4,396,320.33,1,0,0,0,0,0,0
O00148,2025-10-22,2025-10-24,2025-10-24,P042,C043,Retail,S006,W002,92,1.93,0.06,166.91,1.27,116.84,50.07,1,0,0,0,0,0,0
O00149,2025-04-19,2025-04-21,2025-04-21,P038,C020,HoReCa,S006,W002,131,1.43,0.04,179.84,0.91,119.21,60.63,1,0,0,0,0,0,0
O00150,2025-05-02,2025-05-14,2025-05-14,P007,C057,HoReCa,S008,W003,60,2.1,0.1,113.4,1.23,73.8,39.6,1,0,0,0,0,0,1
O00151,2024-06-17,2024-06-23,2024-06-23,P016,C067,Retail,S003,W001,108,3.15,0.06,319.79,2.05,221.4,98.39,1,0,0,0,14,0,0
O00152,2025-08-29,2025-09-05,2025-09-05,P028,C050,Retail,S004,W001,39,2.44,0.04,91.35,1.5,58.5,32.85,1,0,0,0,0,0,0
O00153,2024-04-26,2024-05-01,2024-05-01,P017,C063,HoReCa,S001,W003,86,2.57,0.03,214.39,1.46,125.56,88.83,1,0,0,0,0,0,0
O00154,2024-03-27,2024-04-01,2024-04-01,P009,C041,Retail,S001,W001,22,2.27,0.06,46.94,1.45,31.9,15.04,1,0,0,0,0,0,0
O00155,2025-05-13,2025-05-15,2025-05-15,P041,C023,HoReCa,S006,W003,78,1.71,0.02,130.71,1.1,85.8,44.91,1,0,0,0,0,0,0
O00156,2025-07-29,2025-08-07,2025-08-07,P033,C064,Retail,S002,W002,81,4.43,0.05,340.89,2.4,194.4,146.49,1,0,0,0,0,1,0
O00157,2024-08-18,2024-08-27,2024-08-27,P035,C037,HoReCa,S002,W001,147,3.56,0.04,502.39,2.53,371.91,130.48,1,0,0,0,0,0,0
O00158,2024-02-12,2024-02-24,2024-02-24,P029,C070,Retail,S008,W005,78,2.79,0.04,208.92,1.46,113.88,95.04,1,0,0,0,0,0,0
O00159,2025-03-25,2025-04-06,2025-04-06,P008,C031,HoReCa,S008,W001,112,2.17,0.02,238.18,1.17,131.04,107.14,1,0,0,0,0,0,0
O00160,2025-06-29,2025-07-05,2025-07-05,P018,C077,Retail,S003,W003,119,3.22,0.05,364.02,2.09,248.71,115.31,1,0,0,0,0,0,0
O00161,2024-05-18,2024-05-25,2024-05-25,P027,C008,E-commerce,S004,W005,158,2.7,0.02,418.07,1.63,257.54,160.53,1,0,0,0,0,0,0
O00162,2025-02-28,2025-03-07,2025-03-07,P025,C058,Retail,S004,W005,199,1.94,0.06,362.9,1.4,278.6,84.3,1,0,0,0,0,1,0
O00163,2024-04-05,2024-04-17,2024-04-17,P030,C046,Retail,S008,W001,25,2.82,0.05,66.97,1.89,47.25,19.72,1,0,0,0,0,0,0
O00164,2025-11-29,2025-12-11,2025-12-11,P004,C006,E-commerce,S008,W004,154,1.6,0.02,241.47,1.02,157.08,84.39,1,0,0,0,0,0,0
O00165,2025-12-06,2025-12-16,2025-12-16,P009,C039,Retail,S007,W001,155,2.27,0.04,337.78,1.45,224.75,113.03,1,0,0,0,0,0,0
O00166,2025-12-21,2025-12-31,2026-01-01,P007,C001,Retail,S007,W004,72,2.1,0.05,143.64,1.23,88.56,55.08,0,1,0,0,0,0,0
O00167,2024-03-13,2024-03-19,2024-03-19,P015,C050,Retail,S003,W001,26,2.03,0.04,50.67,1.2,31.2,19.47,1,0,0,0,0,0,0
